Планета;Созвездие;Характер;Цели и амбиции;Эмоции;Дружба;Любовь;Семья;Финансовое благополучие;Карьера;Интеллект;Умения;Здоровье;События прошлого;Потенциал развития;Творчество;Риски;Миссия
Нептун;Козерог;Консерватизм, стремление к стабильности, чувствительность;Поиск надёжного партнёра;—;—;—;—;—;—;—;—;—;—;Развитие гибкости;—;Склонность к излишней жёсткости, одиночеству;Достижение карьерных высот
Плутон;Козерог;Целеустремлённость, трудолюбие, стремление к власти;Достижение карьерных высот;—;—;—;—;—;—;—;—;—;—;Развитие гибкости;—;Склонность к излишней жёсткости, одиночеству;Достижение карьерных высот
Асцендент;Козерог;Холодный, сдержанный, целеустремлённый;Поиск надёжного партнёра;—;—;Практичность, склонность к ревности;—;—;—;—;—;—;—;Развитие гибкости;—;Излишняя жёсткость, склонность к одиночеству;Достижение карьерных высот
Точка середины неба;Козерог;Практичность, целеустремлённость, стремление к власти;Достижение высших ступеней в обществе;—;—;—;—;—;Строительство, политика, промышленность, наука, финансы;—;—;—;—;Развитие гибкости;—;Страх неудач, излишняя прагматичность;Достижение власти и влияния
Солнце;Водолей;Идеализм, дружелюбие, отстранённость, творческий подход;—;—;—;—;—;—;—;—;—;—;—;—;—;Трудности с завершением проектов;Поиск новых идей и свободы
Луна;Водолей;Свободолюбие, новаторство, стремление к независимости;Поиск новых идей и свободы;—;—;Нестандартный подход к отношениям, поиск партнёра для интеллектуального роста;—;—;—;—;—;—;—;Развитие эмпатии;—;Излишняя отстранённость, трудности с пониманием со стороны окружающих;Поиск новых идей и свободы
Меркурий;Водолей;Новаторство, свободомыслие, независимость;Поиск новых идей и свободы;—;—;Нестандартный подход к отношениям, но склонность к отстранённости;—;—;—;Оригинальное мышление, интерес к науке и технологиям;—;—;—;Развитие эмпатии;Творчество, связанное с инновациями;Излишняя отстранённость, трудности с пониманием со стороны окружающих;Поиск новых идей и свободы
Венера;Водолей;Свободолюбие, новаторство, стремление к независимости;Поиск новых идей и свободы;—;—;Нестандартный подход к отношениям, поиск партнёра для интеллектуального роста;—;—;—;—;—;—;—;Развитие эмпатии;—;Излишняя отстранённость, трудности с пониманием со стороны окружающих;Поиск новых идей и свободы
Марс;Водолей;Новаторство, свободолюбие, стремление к независимости;Поиск новых идей и свободы;—;—;Нестандартный подход к отношениям, поиск партнёра для интеллектуального роста;—;—;—;—;—;—;—;Развитие эмпатии;—;Излишняя отстранённость, трудности с пониманием со стороны окружающих;Поиск новых идей и свободы
Юпитер;Водолей;Свободолюбие, новаторство, стремление к независимости;Поиск новых идей и свободы;—;—;Нестандартный подход к отношениям, поиск партнёра для интеллектуального роста;—;—;—;—;—;—;—;Развитие эмпатии;—;Излишняя отстранённость, трудности с пониманием со стороны окружающих;Поиск новых идей и свободы
Сатурн;Водолей;Свободолюбие, новаторство, стремление к независимости;Поиск новых идей и свободы;—;—;Нестандартный подход к отношениям, поиск партнёра для интеллектуального роста;—;—;—;—;—;—;—;Развитие эмпатии;—;Излишняя отстранённость, трудности с пониманием со стороны окружающих;Поиск новых идей и свободы
Уран;Водолей;Свободолюбие, новаторство, стремление к независимости;Поиск новых идей и свободы;—;—;Нестандартный подход к отношениям, поиск партнёра для интеллектуального роста;—;—;—;—;—;—;—;Развитие эмпатии;—;Излишняя отстранённость, трудности с пониманием со стороны окружающих;Поиск новых идей и свободы через инновации
Нептун;Водолей;Новаторство, свободомыслие, стремление к независимости;Поиск новых идей и свободы;—;—;—;—;—;—;—;—;—;—;Развитие эмпатии;—;Склонность к отстранённости, трудности с пониманием со стороны окружающих;Поиск новых идей и свободы
Плутон;Водолей;Новаторство, свободомыслие, стремление к независимости;Поиск новых идей и свободы;—;—;—;—;—;—;—;—;—;—;Развитие эмпатии;—;Склонность к излишней отстранённости, трудности с пониманием окружающих;Поиск новых идей и свободы
Асцендент;Водолей;Свободолюбивый, новаторский, альтруистичный;Поиск новых идей и свободы;—;—;Нестандартный подход к отношениям, поиск партнёра для интеллектуального роста;—;—;—;—;—;—;—;Развитие эмпатии;—;Излишняя отстранённость, трудности с пониманием со стороны окружающих;Поиск новых идей и свободы
Точка середины неба;Водолей;Непредсказуемость, идеализм, стремление к изменениям;Изменение мира, поиск новых идей;—;—;—;—;—;Наука, IT, медицина, эзотерика, искусство;—;—;—;—;Развитие доброжелательности;—;Высокомерие, склонность к риску;Поиск новых идей и свободы
Солнце;Рыбы;Креативность, впечатлительность, мечтательность, неуверенность в себе;—;—;—;Идеализация партнёра, склонность к жертвенности;—;—;—;—;—;—;—;—;—;Лень, недостаток энергии;Духовное развитие и помощь други
Луна;Рыбы;Мечтательность, таинственность, стремление к духовной близости;Поиск идеальных отношений;—;—;Чувствительность, склонность к самопожертвованию;—;—;—;—;—;—;—;Развитие практичности;—;Склонность к иллюзиям, излишняя мечтательность;Духовное развитие
Меркурий;Рыбы;Мечтательность, чувствительность, интуитивность;Духовное развитие и помощь другим;—;—;Чувствительность в отношениях, но склонность к иллюзиям;—;—;—;Творческий ум, но склонность к иллюзиям;—;—;—;Развитие практичности;Творчество, связанное с фантазией;Склонность к депрессии, излишняя мечтательность;Духовное развитие
Венера;Рыбы;Романтичность, мечтательность, стремление к идеальным отношениям;Поиск духовной и эмоциональной близости;—;—;Чувствительность, склонность к самопожертвованию;—;—;—;—;—;—;—;Развитие практичности;—;Склонность к иллюзиям, излишняя мечтательность;Духовное развитие
Марс;Рыбы;Пацифизм, мечтательность, стремление к духовной близости;Поиск гармонии и помощи другим;—;—;Чувствительность, склонность к самопожертвованию;—;—;—;—;—;—;—;Развитие практичности;—;Склонность к иллюзиям, излишняя мечтательность;Духовное развитие
Юпитер;Рыбы;Романтичность, мечтательность, стремление к идеальным отношениям;Поиск духовной и эмоциональной близости;—;—;Чувствительность, склонность к самопожертвованию;—;—;—;—;—;—;—;Развитие практичности;—;Склонность к иллюзиям, излишняя мечтательность;Духовное развитие
Сатурн;Рыбы;Чувствительность, мечтательность, стремление к духовному росту;Помощь другим, поиск духовной близости;—;—;Чувствительность, склонность к самопожертвованию;—;—;—;—;—;—;—;Развитие практичности;—;Склонность к иллюзиям, излишняя мечтательность;Духовное развитие
Уран;Рыбы;Интуиция, мечтательность, стремление к духовному развитию;Поиск новых форм самовыражения;—;—;Чувствительность, склонность к идеализации отношений;—;—;—;—;—;—;—;Развитие практичности;—;Склонность к иллюзиям, излишняя мечтательность;Духовное развитие через инновации
Нептун;Рыбы;Мечтательность, чувствительность, стремление к идеальным отношениям;Поиск духовной и эмоциональной близости;—;—;—;—;—;—;—;—;—;—;Развитие практичности;—;Склонность к иллюзиям, излишняя мечтательность;Духовное развитие
Плутон;Рыбы;Мечтательность, чувствительность, стремление к идеальным отношениям;Поиск духовной и эмоциональной близости;—;—;—;—;—;—;—;—;—;—;Развитие практичности;—;Склонность к иллюзиям, излишняя мечтательность;Духовное развитие
Асцендент;Рыбы;Застенчивый, чувствительный, мечтательный;Поиск духовной и эмоциональной близости;—;—;Чувствительность, склонность к самопожертвованию;—;—;—;—;—;—;—;Развитие практичности;—;Склонность к иллюзиям, излишняя мечтательность;Духовное развитие
Точка середины неба;Рыбы;Мечтательность, стремление к красоте, непрактичность;Создание красоты, духовное развитие;—;—;—;—;—;Медицина, искусство, социальные службы, оккультные науки;—;—;—;—;Развитие практичности;—;Склонность к иллюзиям, апатии, религиозному фанатизму;Духовное развитие
